date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150708T00Z,119418,45463,OKAY,119418
20150708T01Z,115801,44252,OKAY,115801
20150708T02Z,113028,42745,OKAY,113028
20150708T03Z,105914,39381,OKAY,105914
20150708T04Z,98477,35668,OKAY,98477
20150708T05Z,92330,33801,OKAY,92330
20150708T06Z,88002,31675,OKAY,88002
20150708T07Z,84847,30112,OKAY,84847
20150708T08Z,82926,29293,OKAY,82926
20150708T09Z,82966,29292,OKAY,82966
20150708T10Z,85690,30443,OKAY,85690
20150708T11Z,89853,32508,OKAY,89853
20150708T12Z,94018,34957,OKAY,94018
20150708T13Z,98070,37004,OKAY,98070
20150708T14Z,102088,39053,OKAY,102088
20150708T15Z,106737,41014,OKAY,106737
20150708T16Z,110445,42627,OKAY,110445
20150708T17Z,113450,43866,OKAY,113450
20150708T18Z,115875,44980,OKAY,115875
20150708T19Z,117258,45683,OKAY,117258
20150708T20Z,117354,46074,OKAY,117354
20150708T21Z,116504,46114,OKAY,116504
20150708T22Z,115016,45555,OKAY,115016
20150708T23Z,112615,44003,OKAY,112615
20150709T00Z,109947,42556,OKAY,109947
20150709T01Z,108428,41650,OKAY,108428
20150709T02Z,107340,40363,OKAY,107340
20150709T03Z,100993,37292,OKAY,100993
20150709T04Z,94089,33927,OKAY,94089
20150709T05Z,89486,32183,OKAY,89486
20150709T06Z,85774,30160,OKAY,85774
20150709T07Z,82981,28883,OKAY,82981
20150709T08Z,81367,28102,OKAY,81367
20150709T09Z,81754,28136,OKAY,81754
20150709T10Z,84823,29240,OKAY,84823
20150709T11Z,90004,31312,OKAY,90004
20150709T12Z,95132,33806,OKAY,95132
20150709T13Z,98455,35953,OKAY,98455
20150709T14Z,102532,37982,OKAY,102532
20150709T15Z,107052,39980,OKAY,107052
20150709T16Z,111321,41748,OKAY,111321
20150709T17Z,114814,43309,OKAY,114814
20150709T18Z,117923,44852,OKAY,117923
20150709T19Z,119493,46080,OKAY,119493
20150709T20Z,120431,47054,OKAY,120431
20150709T21Z,121148,47634,OKAY,121148
20150709T22Z,120588,47142,OKAY,120588
20150709T23Z,118139,45529,OKAY,118139
20150710T00Z,114600,43730,OKAY,114600
20150710T01Z,111838,42746,OKAY,111838
20150710T02Z,109710,41419,OKAY,109710
20150710T03Z,103452,38317,OKAY,103452
20150710T04Z,96544,34930,OKAY,96544
20150710T05Z,91528,31706,OKAY,91528
20150710T06Z,87390,29654,OKAY,87390
20150710T07Z,84032,28116,OKAY,84032
20150710T08Z,82017,27312,OKAY,82017
20150710T09Z,81558,27275,OKAY,81558
20150710T10Z,83705,28183,OKAY,83705
20150710T11Z,87371,29968,OKAY,87371
20150710T12Z,92016,32104,OKAY,92016
20150710T13Z,95556,34068,OKAY,95556
20150710T14Z,100187,35904,OKAY,100187
20150710T15Z,104555,37688,OKAY,104555
20150710T16Z,108282,39101,OKAY,108282
20150710T17Z,110858,40412,OKAY,110858
20150710T18Z,113367,41648,OKAY,113367
20150710T19Z,115585,42657,OKAY,115585
20150710T20Z,116664,43504,OKAY,116664
20150710T21Z,117812,43967,OKAY,117812
20150710T22Z,117560,43502,OKAY,117560
20150710T23Z,114629,41764,OKAY,114629
20150711T00Z,110117,40035,OKAY,110117
20150711T01Z,106243,38949,OKAY,106243
20150711T02Z,103978,37782,OKAY,103978
