date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150708T00Z,7333,6858,OKAY,7333
20150708T01Z,7119,6596,OKAY,7119
20150708T02Z,6842,6226,OKAY,6842
20150708T03Z,6261,5617,OKAY,6261
20150708T04Z,5586,5148,OKAY,5586
20150708T05Z,5029,4412,OKAY,5029
20150708T06Z,4628,4088,OKAY,4628
20150708T07Z,4366,3871,OKAY,4366
20150708T08Z,4206,3747,OKAY,4206
20150708T09Z,4197,3719,OKAY,4197
20150708T10Z,4388,3887,OKAY,4388
20150708T11Z,4755,4122,OKAY,4755
20150708T12Z,5077,4422,OKAY,5077
20150708T13Z,5617,4811,OKAY,5617
20150708T14Z,6405,5376,OKAY,6405
20150708T15Z,7242,5971,OKAY,7242
20150708T16Z,7995,6475,OKAY,7995
20150708T17Z,8717,6849,OKAY,8717
20150708T18Z,9330,7174,OKAY,9330
20150708T19Z,9725,7323,OKAY,9725
20150708T20Z,9854,7400,OKAY,9854
20150708T21Z,9748,7416,OKAY,9748
20150708T22Z,9472,7194,OKAY,9472
20150708T23Z,9102,6912,OKAY,9102
20150709T00Z,8556,6547,OKAY,8556
20150709T01Z,8111,6333,OKAY,8111
20150709T02Z,7720,6037,OKAY,7720
20150709T03Z,7064,5436,OKAY,7064
20150709T04Z,6348,5007,OKAY,6348
20150709T05Z,5641,4565,OKAY,5641
20150709T06Z,5180,4206,OKAY,5180
20150709T07Z,4870,3955,OKAY,4870
20150709T08Z,4670,3822,OKAY,4670
20150709T09Z,4620,3798,OKAY,4620
20150709T10Z,4813,3899,OKAY,4813
20150709T11Z,5176,4223,OKAY,5176
20150709T12Z,5520,4465,OKAY,5520
20150709T13Z,6138,4941,OKAY,6138
20150709T14Z,6944,5526,OKAY,6944
20150709T15Z,7788,6175,OKAY,7788
20150709T16Z,8548,6751,OKAY,8548
20150709T17Z,9213,7165,OKAY,9213
20150709T18Z,9790,7537,OKAY,9790
20150709T19Z,10187,7770,OKAY,10187
20150709T20Z,10465,7902,OKAY,10465
20150709T21Z,10422,7912,OKAY,10422
20150709T22Z,10117,7738,OKAY,10117
20150709T23Z,9695,7447,OKAY,9695
20150710T00Z,9126,7015,OKAY,9126
20150710T01Z,8697,6743,OKAY,8697
20150710T02Z,8185,6454,OKAY,8185
20150710T03Z,7431,5860,OKAY,7431
