Classification of hourly values for the 113 BAs and BA subregions from 2018-10-01 00:00:00 to 2020-09-30 23:00:00 inclusive,,,,,,
"For details and to compare with previous results see Table 3 in ""Developing reliable hourly electricity demand data through screening and imputation""",,,,,,
,,,,,,
,,,,MAPE_(%),MAPE_(%),MAPE_(%)
BA, Median_demand_(MW) , Imputed_hours ,Mean_pct._Error (%),Short_gaps,Long_gaps,All_gaps
MISO-0035,9585,30,-0.062,0.75,1.31,1.16
MISO-8910,18153,30,0.396,0.91,2.92,2.37
NEVP,3876,22,0.06,1.39,2.79,2.28
NSB,46,7443,0.958,2.97,5.18,4.71
NWMT,1387,126,0.118,1.32,2.99,2.61
NYIS-ZONA,1676,5,-0.067,0.59,nan,0.59
NYIS-ZONB,1086,7,0.021,0.72,nan,0.72
NYIS-ZONC,1772,2,0.115,nan,0.58,0.58
NYIS-ZOND,554,113,0.009,1.53,2.2,1.55
NYIS-ZONE,876,4,0.041,1.03,nan,1.03
NYIS-ZONF,1323,3,-0.11,0.76,nan,0.76
NYIS-ZONG,1042,22,-0.144,0.86,1.57,1.38
NYIS-ZONH,310,24,0.039,1.32,nan,1.32
NYIS-ZONI,652,15,0.067,0.9,nan,0.9
NYIS-ZONJ,5701,2,0.255,nan,0.46,0.46
NYIS-ZONK,2188,1,-0.032,0.69,nan,0.69
PACE,5380,579,0.605,1.55,3.41,3.16
PACW,2307,87,-0.247,0.88,1.79,1.4
PGE,2319,350,0.052,1.35,2.57,2.49
PJM-AE,1125,97,-0.588,2.06,2.71,2.67
PJM-AEP,14279,99,0.084,0.93,1.22,1.19
PJM-AP,5677,97,0.335,1.83,2.21,2.18
PJM-ATSI,7375,97,0.074,1.4,1.74,1.71
PJM-BC,3393,104,-0.18,1.03,1.49,1.46
PJM-CE,10620,103,0.213,1.65,3.41,3.21
PJM-DAY,1954,101,-0.417,1.15,2.25,2.13
PJM-DEOK,2941,98,0.295,1.61,2.18,2.13
PJM-DOM,11149,97,-0.246,1.86,2.26,2.23
PJM-DPL,2063,101,0.247,1.22,1.78,1.72
PJM-DUQ,1482,99,0.361,2.08,2.66,2.61
PJM-EKPC,1438,102,0.233,2.12,3.44,3.28
PJM-JC,2381,98,0.31,1.35,2.1,2.04
PJM-ME,1760,101,2.121,2.22,4.37,4.13
PJM-PE,4339,97,-0.002,1.32,1.6,1.59
PJM-PEP,3266,97,-0.104,2.18,1.96,1.97
PJM-PL,4460,100,0.642,1.38,2.51,2.4
PJM-PN,1957,102,0.123,1.52,1.77,1.75
