date_time,Cleaned Demand (MW)
20150714T02Z,58656
20150714T03Z,56732
20150714T04Z,52440
20150714T05Z,47756
20150714T06Z,43888
20150714T07Z,41031
20150714T08Z,38991
20150714T09Z,37550
20150714T10Z,37152
20150714T11Z,38133
20150714T12Z,39532
20150714T13Z,40692
20150714T14Z,43311
20150714T15Z,46683
20150714T16Z,50567
20150714T17Z,54224
20150714T18Z,57543
20150714T19Z,60665
20150714T20Z,63169
20150714T21Z,64570
20150714T22Z,65134
20150714T23Z,64832
20150715T00Z,63588
20150715T01Z,61110
20150715T02Z,58458
20150715T03Z,56384
20150715T04Z,52099
20150715T05Z,47360
20150715T06Z,43387
20150715T07Z,40541
20150715T08Z,38558
20150715T09Z,37288
20150715T10Z,36929
20150715T11Z,37933
20150715T12Z,39396
20150715T13Z,40502
20150715T14Z,43143
20150715T15Z,46491
20150715T16Z,50201
20150715T17Z,53740
20150715T18Z,56970
20150715T19Z,59835
20150715T20Z,61961
20150715T21Z,63536
20150715T22Z,64558
20150715T23Z,64270
20150716T00Z,62890
20150716T01Z,60380
20150716T02Z,57753
20150716T03Z,55682
20150716T04Z,51667
20150716T05Z,47173
20150716T06Z,43306
20150716T07Z,40675
20150716T08Z,38781
20150716T09Z,37628
20150716T10Z,37344
20150716T11Z,38385
20150716T12Z,39830
20150716T13Z,41039
20150716T14Z,43719
20150716T15Z,46964
20150716T16Z,50614
20150716T17Z,53898
20150716T18Z,56805
20150716T19Z,59723
20150716T20Z,61975
20150716T21Z,63559
20150716T22Z,64375
20150716T23Z,63950
20150717T00Z,62327
20150717T01Z,59977
20150717T02Z,57602
20150717T03Z,55760
20150717T04Z,51958
20150717T05Z,47701
20150717T06Z,44053
20150717T07Z,41309
20150717T08Z,39394
20150717T09Z,38288
20150717T10Z,37970
20150717T11Z,38805
20150717T12Z,39933
20150717T13Z,41121
20150717T14Z,43822
20150717T15Z,47442
20150717T16Z,51099
20150717T17Z,54518
20150717T18Z,57500
20150717T19Z,60180
20150717T20Z,62122
20150717T21Z,63287
20150717T22Z,64041
20150717T23Z,63701
20150718T00Z,62008
20150718T01Z,59529
20150718T02Z,57036
20150718T03Z,55421
20150718T04Z,52098
20150718T05Z,48294
20150718T06Z,44973
20150718T07Z,42357
20150718T08Z,40545
20150718T09Z,39244
20150718T10Z,38413
20150718T11Z,38215
20150718T12Z,38143
20150718T13Z,38733
20150718T14Z,42025
20150718T15Z,45875
20150718T16Z,49872
20150718T17Z,53490
20150718T18Z,56458
20150718T19Z,58868
20150718T20Z,60884
20150718T21Z,62211
20150718T22Z,62932
20150718T23Z,62657
20150719T00Z,61497
20150719T01Z,59238
20150719T02Z,56779
20150719T03Z,55133
20150719T04Z,51839
20150719T05Z,48206
20150719T06Z,44798
20150719T07Z,42054
20150719T08Z,39989
20150719T09Z,38439
20150719T10Z,37283
20150719T11Z,36698
20150719T12Z,36236
20150719T13Z,36588
20150719T14Z,39700
20150719T15Z,43497
20150719T16Z,47514
20150719T17Z,51471
20150719T18Z,54999
20150719T19Z,58095
20150719T20Z,60149
20150719T21Z,61845
20150719T22Z,62808
20150719T23Z,62936
20150720T00Z,62107
20150720T01Z,60055
20150720T02Z,57822
20150720T03Z,56186
20150720T04Z,52476
20150720T05Z,48238
20150720T06Z,44605
20150720T07Z,41806
20150720T08Z,39782
20150720T09Z,38566
20150720T10Z,38226
20150720T11Z,39110
20150720T12Z,40537
20150720T13Z,41630
20150720T14Z,44496
20150720T15Z,48125
20150720T16Z,52250
20150720T17Z,56047
20150720T18Z,59434
20150720T19Z,62327
20150720T20Z,64568
20150720T21Z,65731
20150720T22Z,66172
20150720T23Z,65959
20150721T00Z,64761
20150721T01Z,62358
20150721T02Z,59821
20150721T03Z,57749
20150721T04Z,53638
20150721T05Z,49181
20150721T06Z,45243
20150721T07Z,42427
20150721T08Z,40384
20150721T09Z,39145
20150721T10Z,38712
20150721T11Z,39524
20150721T12Z,40950
20150721T13Z,41933
20150721T14Z,44203
20150721T15Z,47379
20150721T16Z,50909
20150721T17Z,54540
20150721T18Z,57816
20150721T19Z,60934
20150721T20Z,63260
20150721T21Z,64704
20150721T22Z,65252
20150721T23Z,64772
20150722T00Z,63167
20150722T01Z,60762
20150722T02Z,58460
20150722T03Z,56760
20150722T04Z,52631
20150722T05Z,48437
20150722T06Z,44738
20150722T07Z,42034
20150722T08Z,40250
20150722T09Z,39161
20150722T10Z,38990
20150722T11Z,40091
20150722T12Z,41709
20150722T13Z,42750
20150722T14Z,45114
20150722T15Z,48169
20150722T16Z,51549
20150722T17Z,54781
20150722T18Z,57987
20150722T19Z,61084
20150722T20Z,63493
20150722T21Z,65185
20150722T22Z,65992
20150722T23Z,65567
20150723T00Z,63961
20150723T01Z,61396
20150723T02Z,58957
20150723T03Z,57101
20150723T04Z,53158
20150723T05Z,48858
20150723T06Z,45114
20150723T07Z,42417
20150723T08Z,40584
20150723T09Z,39508
20150723T10Z,39178
20150723T11Z,40177
20150723T12Z,41623
20150723T13Z,42659
20150723T14Z,45357
20150723T15Z,48849
20150723T16Z,52683
20150723T17Z,56481
20150723T18Z,59560
20150723T19Z,62432
20150723T20Z,64659
20150723T21Z,65858
20150723T22Z,66101
20150723T23Z,65730
20150724T00Z,64310
20150724T01Z,61861
20150724T02Z,59479
20150724T03Z,57443
20150724T04Z,53422
20150724T05Z,49090
20150724T06Z,45412
20150724T07Z,42722
20150724T08Z,40876
20150724T09Z,39642
20150724T10Z,39239
20150724T11Z,39910
20150724T12Z,41082
20150724T13Z,41928
20150724T14Z,44649
20150724T15Z,48190
20150724T16Z,52011
20150724T17Z,55546
20150724T18Z,58789
20150724T19Z,61618
20150724T20Z,63885
20150724T21Z,65320
20150724T22Z,66027
20150724T23Z,65553
20150725T00Z,63936
20150725T01Z,61427
20150725T02Z,58798
20150725T03Z,56790
20150725T04Z,53254
20150725T05Z,49346
20150725T06Z,45588
20150725T07Z,42721
20150725T08Z,40382
20150725T09Z,38775
20150725T10Z,37804
20150725T11Z,37598
20150725T12Z,37678
20150725T13Z,38132
20150725T14Z,41347
20150725T15Z,45546
20150725T16Z,49941
20150725T17Z,53985
20150725T18Z,57309
20150725T19Z,60010
20150725T20Z,61873
20150725T21Z,63086
20150725T22Z,63794
20150725T23Z,63544
20150726T00Z,62188
20150726T01Z,59753
20150726T02Z,57395
20150726T03Z,55345
20150726T04Z,51993
20150726T05Z,48432
20150726T06Z,45092
20150726T07Z,42388
20150726T08Z,40219
20150726T09Z,38590
20150726T10Z,37479
20150726T11Z,37058
20150726T12Z,36745
20150726T13Z,37089
20150726T14Z,40126
20150726T15Z,44330
20150726T16Z,48685
20150726T17Z,52950
20150726T18Z,56726
20150726T19Z,59686
20150726T20Z,61992
20150726T21Z,63542
20150726T22Z,64379
20150726T23Z,64650
20150727T00Z,63738
20150727T01Z,61621
20150727T02Z,59460
20150727T03Z,57641
20150727T04Z,53742
20150727T05Z,49518
20150727T06Z,45902
20150727T07Z,43202
20150727T08Z,41265
20150727T09Z,40027
20150727T10Z,39643
20150727T11Z,40443
20150727T12Z,41817
20150727T13Z,42686
20150727T14Z,45366
20150727T15Z,49023
20150727T16Z,53235
20150727T17Z,57490
20150727T18Z,61084
20150727T19Z,64059
20150727T20Z,65943
20150727T21Z,66616
20150727T22Z,66674
20150727T23Z,66267
20150728T00Z,65061
20150728T01Z,62615
20150728T02Z,60263
20150728T03Z,58276
20150728T04Z,54028
20150728T05Z,49474
20150728T06Z,45642
20150728T07Z,42915
20150728T08Z,40955
20150728T09Z,39814
20150728T10Z,39477
20150728T11Z,40406
20150728T12Z,41960
20150728T13Z,42715
20150728T14Z,45200
20150728T15Z,48583
20150728T16Z,52433
20150728T17Z,56287
20150728T18Z,59766
20150728T19Z,62741
20150728T20Z,65143
20150728T21Z,66525
20150728T22Z,66829
20150728T23Z,66501
20150729T00Z,65039
20150729T01Z,62584
20150729T02Z,60362
20150729T03Z,58350
20150729T04Z,54111
20150729T05Z,49498
20150729T06Z,45748
20150729T07Z,42935
20150729T08Z,40908
20150729T09Z,39573
20150729T10Z,39133
20150729T11Z,39908
20150729T12Z,41396
20150729T13Z,42192
20150729T14Z,44751
20150729T15Z,48323
20150729T16Z,52567
20150729T17Z,56835
20150729T18Z,60666
20150729T19Z,64030
20150729T20Z,66247
20150729T21Z,67275
20150729T22Z,67585
20150729T23Z,67223
20150730T00Z,66419
20150730T01Z,63468
20150730T02Z,61095
20150730T03Z,58854
20150730T04Z,54410
20150730T05Z,49762
20150730T06Z,45797
20150730T07Z,42817
20150730T08Z,40629
20150730T09Z,39188
20150730T10Z,38627
20150730T11Z,39456
20150730T12Z,41011
20150730T13Z,41911
20150730T14Z,44595
20150730T15Z,48439
20150730T16Z,52932
20150730T17Z,57194
20150730T18Z,60897
20150730T19Z,64317
20150730T20Z,66465
20150730T21Z,67416
20150730T22Z,67630
20150730T23Z,67379
20150731T00Z,65970
20150731T01Z,63439
20150731T02Z,61276
20150731T03Z,58846
20150731T04Z,54723
20150731T05Z,50485
20150731T06Z,46778
20150731T07Z,44058
20150731T08Z,41826
20150731T09Z,40449
20150731T10Z,39910
20150731T11Z,40628
20150731T12Z,41849
20150731T13Z,42590
20150731T14Z,45058
20150731T15Z,48525
20150731T16Z,52723
20150731T17Z,56769
20150731T18Z,60320
20150731T19Z,63462
20150731T20Z,65509
20150731T21Z,66252
20150731T22Z,65779
20150731T23Z,64382
20150801T00Z,61766
20150801T01Z,58776
20150801T02Z,56530
20150801T03Z,54269
20150801T04Z,50660
20150801T05Z,46854
20150801T06Z,43386
20150801T07Z,40517
20150801T08Z,38234
20150801T09Z,36675
20150801T10Z,35710
20150801T11Z,35416
20150801T12Z,35480
20150801T13Z,35928
20150801T14Z,38956
20150801T15Z,42896
20150801T16Z,47057
20150801T17Z,51097
20150801T18Z,54317
20150801T19Z,56807
20150801T20Z,58725
20150801T21Z,60170
20150801T22Z,60904
20150801T23Z,60580
20150802T00Z,59302
20150802T01Z,56886
20150802T02Z,54484
20150802T03Z,52295
20150802T04Z,48709
20150802T05Z,44996
20150802T06Z,41690
20150802T07Z,39188
20150802T08Z,37182
20150802T09Z,35733
20150802T10Z,34639
20150802T11Z,34218
20150802T12Z,33966
20150802T13Z,34204
20150802T14Z,37131
20150802T15Z,41253
20150802T16Z,45543
20150802T17Z,49763
20150802T18Z,53409
20150802T19Z,56445
20150802T20Z,58904
20150802T21Z,60666
20150802T22Z,61718
20150802T23Z,61870
20150803T00Z,60693
20150803T01Z,58465
20150803T02Z,56283
20150803T03Z,54271
20150803T04Z,50238
20150803T05Z,45781
20150803T06Z,42095
20150803T07Z,39425
20150803T08Z,37632
20150803T09Z,36631
20150803T10Z,36359
20150803T11Z,37304
20150803T12Z,39064
20150803T13Z,40088
20150803T14Z,42943
20150803T15Z,46609
20150803T16Z,50763
20150803T17Z,55017
20150803T18Z,58751
20150803T19Z,62000
20150803T20Z,64387
20150803T21Z,65834
20150803T22Z,66234
20150803T23Z,65443
20150804T00Z,63588
20150804T01Z,61080
20150804T02Z,59008
20150804T03Z,56894
20150804T04Z,52674
20150804T05Z,48251
20150804T06Z,44487
20150804T07Z,41820
20150804T08Z,39966
20150804T09Z,38767
20150804T10Z,38475
20150804T11Z,39472
20150804T12Z,41297
20150804T13Z,42047
20150804T14Z,44397
20150804T15Z,48081
20150804T16Z,52275
20150804T17Z,56262
20150804T18Z,59564
20150804T19Z,62125
20150804T20Z,63969
20150804T21Z,65168
20150804T22Z,65690
20150804T23Z,65405
20150805T00Z,63707
20150805T01Z,61263
20150805T02Z,59382
20150805T03Z,57570
20150805T04Z,53654
20150805T05Z,49726
20150805T06Z,45546
20150805T07Z,43502
20150805T08Z,41712
20150805T09Z,40657
20150805T10Z,40460
20150805T11Z,41623
20150805T12Z,43231
20150805T13Z,43976
20150805T14Z,46601
20150805T15Z,50066
20150805T16Z,54202
20150805T17Z,58126
20150805T18Z,61463
20150805T19Z,64718
20150805T20Z,66956
20150805T21Z,68092
20150805T22Z,68455
20150805T23Z,68007
20150806T00Z,66689
20150806T01Z,64251
20150806T02Z,62071
20150806T03Z,59686
20150806T04Z,55417
20150806T05Z,50949
20150806T06Z,47124
20150806T07Z,44356
20150806T08Z,42493
20150806T09Z,41209
20150806T10Z,40843
20150806T11Z,41716
20150806T12Z,43333
20150806T13Z,44013
20150806T14Z,46347
20150806T15Z,49850
20150806T16Z,53781
20150806T17Z,57684
20150806T18Z,61254
20150806T19Z,64611
20150806T20Z,67182
20150806T21Z,68563
20150806T22Z,68908
20150806T23Z,68519
20150807T00Z,67196
20150807T01Z,64738
20150807T02Z,62370
20150807T03Z,59957
20150807T04Z,55652
20150807T05Z,50987
20150807T06Z,47193
20150807T07Z,44414
20150807T08Z,42417
20150807T09Z,41060
20150807T10Z,40641
20150807T11Z,41426
20150807T12Z,42640
20150807T13Z,43396
20150807T14Z,46117
20150807T15Z,49862
20150807T16Z,53909
20150807T17Z,57716
20150807T18Z,61182
20150807T19Z,64481
20150807T20Z,66986
20150807T21Z,68285
20150807T22Z,68693
20150807T23Z,68118
20150808T00Z,66409
20150808T01Z,63626
20150808T02Z,61044
20150808T03Z,58752
20150808T04Z,54879
20150808T05Z,50821
20150808T06Z,47233
20150808T07Z,44371
20150808T08Z,42150
20150808T09Z,40688
20150808T10Z,39764
20150808T11Z,39663
20150808T12Z,39882
20150808T13Z,40107
20150808T14Z,43138
20150808T15Z,47063
20150808T16Z,51239
20150808T17Z,55232
20150808T18Z,58807
20150808T19Z,61715
20150808T20Z,64081
20150808T21Z,65702
20150808T22Z,66603
20150808T23Z,66331
20150809T00Z,64922
20150809T01Z,62286
20150809T02Z,60033
20150809T03Z,57875
20150809T04Z,54266
20150809T05Z,50490
20150809T06Z,46998
20150809T07Z,44164
20150809T08Z,42015
20150809T09Z,40453
20150809T10Z,39125
20150809T11Z,38497
20150809T12Z,38169
20150809T13Z,38007
20150809T14Z,40746
20150809T15Z,44752
20150809T16Z,48918
20150809T17Z,53014
20150809T18Z,56948
20150809T19Z,60367
20150809T20Z,63003
20150809T21Z,64944
20150809T22Z,66132
20150809T23Z,66351
20150810T00Z,65436
20150810T01Z,63132
20150810T02Z,60897
20150810T03Z,58532
20150810T04Z,54391
20150810T05Z,49966
20150810T06Z,46050
20150810T07Z,43122
20150810T08Z,41149
20150810T09Z,39889
20150810T10Z,39617
20150810T11Z,40422
20150810T12Z,41929
20150810T13Z,42567
20150810T14Z,44993
20150810T15Z,48646
20150810T16Z,53011
20150810T17Z,57588
20150810T18Z,61695
20150810T19Z,65320
20150810T20Z,68030
20150810T21Z,69430
20150810T22Z,69785
20150810T23Z,69612
20150811T00Z,68229
20150811T01Z,65677
20150811T02Z,63197
20150811T03Z,60257
20150811T04Z,55505
20150811T05Z,50542
20150811T06Z,46523
20150811T07Z,43740
20150811T08Z,41808
20150811T09Z,40610
20150811T10Z,40229
20150811T11Z,41170
20150811T12Z,42869
20150811T13Z,43536
20150811T14Z,45738
20150811T15Z,49170
20150811T16Z,53210
20150811T17Z,57697
20150811T18Z,61938
20150811T19Z,65794
20150811T20Z,68498
20150811T21Z,69626
20150811T22Z,69391
20150811T23Z,68151
20150812T00Z,65063
20150812T01Z,62409
20150812T02Z,60371
20150812T03Z,57967
20150812T04Z,53807
20150812T05Z,49414
20150812T06Z,45990
20150812T07Z,43274
20150812T08Z,41229
20150812T09Z,39921
20150812T10Z,39462
20150812T11Z,40451
20150812T12Z,42153
20150812T13Z,42718
20150812T14Z,44874
20150812T15Z,48519
20150812T16Z,52746
20150812T17Z,57060
20150812T18Z,61176
20150812T19Z,64726
20150812T20Z,66976
20150812T21Z,68131
20150812T22Z,68408
20150812T23Z,67760
20150813T00Z,65825
20150813T01Z,63066
20150813T02Z,61143
20150813T03Z,58512
20150813T04Z,54085
20150813T05Z,49571
20150813T06Z,45936
20150813T07Z,43168
20150813T08Z,41210
20150813T09Z,39867
20150813T10Z,39312
20150813T11Z,40314
20150813T12Z,42088
20150813T13Z,42722
20150813T14Z,44701
20150813T15Z,48146
20150813T16Z,52446
20150813T17Z,56682
20150813T18Z,60522
20150813T19Z,64206
20150813T20Z,66286
20150813T21Z,67350
20150813T22Z,67709
20150813T23Z,67074
20150814T00Z,65094
20150814T01Z,62409
20150814T02Z,60369
20150814T03Z,57730
20150814T04Z,53560
20150814T05Z,49111
20150814T06Z,45414
20150814T07Z,42762
20150814T08Z,40858
20150814T09Z,39481
20150814T10Z,38948
20150814T11Z,39843
20150814T12Z,41636
20150814T13Z,42293
20150814T14Z,44555
20150814T15Z,48031
20150814T16Z,52196
20150814T17Z,56222
20150814T18Z,59799
20150814T19Z,62866
20150814T20Z,64986
20150814T21Z,66029
20150814T22Z,65794
20150814T23Z,64466
20150815T00Z,62083
20150815T01Z,59178
20150815T02Z,57137
20150815T03Z,54725
20150815T04Z,51172
20150815T05Z,47441
20150815T06Z,44030
20150815T07Z,41352
20150815T08Z,39206
20150815T09Z,37679
20150815T10Z,36805
20150815T11Z,36780
20150815T12Z,37228
20150815T13Z,37457
20150815T14Z,40147
20150815T15Z,43928
20150815T16Z,47863
20150815T17Z,51951
20150815T18Z,55251
20150815T19Z,57740
20150815T20Z,59385
20150815T21Z,60116
20150815T22Z,60758
20150815T23Z,60538
20150816T00Z,59169
20150816T01Z,56473
20150816T02Z,54572
20150816T03Z,52260
20150816T04Z,48808
20150816T05Z,45134
20150816T06Z,41722
20150816T07Z,39056
20150816T08Z,37059
20150816T09Z,35658
20150816T10Z,34719
20150816T11Z,34422
20150816T12Z,34560
20150816T13Z,34587
20150816T14Z,37247
20150816T15Z,41285
20150816T16Z,45770
20150816T17Z,50203
20150816T18Z,54112
20150816T19Z,56925
20150816T20Z,58676
20150816T21Z,59794
20150816T22Z,60633
20150816T23Z,60326
20150817T00Z,58190
20150817T01Z,55522
20150817T02Z,53923
20150817T03Z,52086
20150817T04Z,48450
20150817T05Z,44373
20150817T06Z,41027
20150817T07Z,38713
20150817T08Z,37198
20150817T09Z,36353
20150817T10Z,36290
20150817T11Z,37477
20150817T12Z,39601
20150817T13Z,40245
20150817T14Z,42438
20150817T15Z,45894
20150817T16Z,49890
20150817T17Z,53855
20150817T18Z,57278
20150817T19Z,60284
20150817T20Z,62425
20150817T21Z,63750
20150817T22Z,64407
20150817T23Z,63855
20150818T00Z,62029
20150818T01Z,59372
