date_time,Cleaned Demand (MW)
20150714T02Z,448174
20150714T03Z,422389
20150714T04Z,389722
20150714T05Z,358558
20150714T06Z,337882
20150714T07Z,323533
20150714T08Z,314712
20150714T09Z,311363
20150714T10Z,318211
20150714T11Z,332758
20150714T12Z,350030
20150714T13Z,371677
20150714T14Z,394101
20150714T15Z,417356
20150714T16Z,436640
20150714T17Z,453333
20150714T18Z,466228
20150714T19Z,475597
20150714T20Z,480204
20150714T21Z,482966
20150714T22Z,481406
20150714T23Z,472743
20150715T00Z,460430
20150715T01Z,444458
20150715T02Z,431270
20150715T03Z,408777
20150715T04Z,377930
20150715T05Z,349697
20150715T06Z,329466
20150715T07Z,315820
20150715T08Z,306820
20150715T09Z,303163
20150715T10Z,308823
20150715T11Z,323294
20150715T12Z,339644
20150715T13Z,358088
20150715T14Z,377193
20150715T15Z,397303
20150715T16Z,415169
20150715T17Z,429590
20150715T18Z,441764
20150715T19Z,451175
20150715T20Z,457364
20150715T21Z,460707
20150715T22Z,459393
20150715T23Z,449877
20150716T00Z,437006
20150716T01Z,422687
20150716T02Z,412139
20150716T03Z,389465
20150716T04Z,359785
20150716T05Z,331722
20150716T06Z,312345
20150716T07Z,299018
20150716T08Z,290375
20150716T09Z,287526
20150716T10Z,293901
20150716T11Z,306828
20150716T12Z,322506
20150716T13Z,340711
20150716T14Z,360550
20150716T15Z,381014
20150716T16Z,399736
20150716T17Z,415412
20150716T18Z,428583
20150716T19Z,439049
20150716T20Z,446919
20150716T21Z,451967
20150716T22Z,453856
20150716T23Z,447848
20150717T00Z,435523
20150717T01Z,423443
20150717T02Z,414730
20150717T03Z,393328
20150717T04Z,364145
20150717T05Z,336242
20150717T06Z,316009
20150717T07Z,303545
20150717T08Z,295266
20150717T09Z,292559
20150717T10Z,298892
20150717T11Z,313527
20150717T12Z,329669
20150717T13Z,350487
20150717T14Z,375847
20150717T15Z,401223
20150717T16Z,425634
20150717T17Z,444935
20150717T18Z,460728
20150717T19Z,472340
20150717T20Z,479220
20150717T21Z,482980
20150717T22Z,480943
20150717T23Z,470887
20150718T00Z,456197
20150718T01Z,442704
20150718T02Z,431251
20150718T03Z,410625
20150718T04Z,380717
20150718T05Z,353708
20150718T06Z,333448
20150718T07Z,318001
20150718T08Z,306530
20150718T09Z,300227
20150718T10Z,298926
20150718T11Z,301520
20150718T12Z,309279
20150718T13Z,333388
20150718T14Z,362759
20150718T15Z,391107
20150718T16Z,415485
20150718T17Z,435071
20150718T18Z,449318
20150718T19Z,457908
20150718T20Z,466466
20150718T21Z,469346
20150718T22Z,470356
20150718T23Z,464380
20150719T00Z,456837
20150719T01Z,438882
20150719T02Z,427820
20150719T03Z,408116
20150719T04Z,381405
20150719T05Z,354971
20150719T06Z,334497
20150719T07Z,319819
20150719T08Z,308164
20150719T09Z,300710
20150719T10Z,297488
20150719T11Z,296254
20150719T12Z,304122
20150719T13Z,328053
20150719T14Z,359484
20150719T15Z,390815
20150719T16Z,418996
20150719T17Z,441769
20150719T18Z,458382
20150719T19Z,469181
20150719T20Z,475047
20150719T21Z,478348
20150719T22Z,480231
20150719T23Z,475744
20150720T00Z,464412
20150720T01Z,451426
20150720T02Z,440416
20150720T03Z,417942
20150720T04Z,387763
20150720T05Z,361687
20150720T06Z,342342
20150720T07Z,328238
20150720T08Z,318999
20150720T09Z,316956
20150720T10Z,324193
20150720T11Z,337856
20150720T12Z,358052
20150720T13Z,382487
20150720T14Z,409404
20150720T15Z,437719
20150720T16Z,463695
20150720T17Z,484739
20150720T18Z,501254
20150720T19Z,511926
20150720T20Z,516976
20150720T21Z,518366
20150720T22Z,515623
20150720T23Z,507686
20150721T00Z,493189
20150721T01Z,478234
20150721T02Z,464122
20150721T03Z,437485
20150721T04Z,403623
20150721T05Z,372609
20150721T06Z,350971
20150721T07Z,335116
20150721T08Z,324941
20150721T09Z,321089
20150721T10Z,327364
20150721T11Z,341737
20150721T12Z,357455
20150721T13Z,378149
20150721T14Z,400697
20150721T15Z,423888
20150721T16Z,445330
20150721T17Z,462010
20150721T18Z,474526
20150721T19Z,483345
20150721T20Z,487926
20150721T21Z,489013
20150721T22Z,486043
20150721T23Z,477502
20150722T00Z,461628
20150722T01Z,445290
20150722T02Z,432424
20150722T03Z,407996
20150722T04Z,374833
20150722T05Z,346017
20150722T06Z,326193
20150722T07Z,311582
20150722T08Z,302243
20150722T09Z,299063
20150722T10Z,304232
20150722T11Z,318128
20150722T12Z,334495
20150722T13Z,353820
20150722T14Z,375483
20150722T15Z,397602
20150722T16Z,417359
20150722T17Z,435158
20150722T18Z,449776
20150722T19Z,461227
20150722T20Z,467932
20150722T21Z,472194
20150722T22Z,470797
20150722T23Z,461364
20150723T00Z,446547
20150723T01Z,431919
20150723T02Z,420807
20150723T03Z,397983
20150723T04Z,366043
20150723T05Z,338365
20150723T06Z,320050
20150723T07Z,306888
20150723T08Z,296707
20150723T09Z,295116
20150723T10Z,301998
20150723T11Z,317537
20150723T12Z,334322
20150723T13Z,354151
20150723T14Z,375695
20150723T15Z,398325
20150723T16Z,418994
20150723T17Z,436039
20150723T18Z,450443
20150723T19Z,461120
20150723T20Z,468004
20150723T21Z,471862
20150723T22Z,470561
20150723T23Z,462406
20150724T00Z,448961
20150724T01Z,435035
20150724T02Z,423689
20150724T03Z,401691
20150724T04Z,370497
20150724T05Z,343267
20150724T06Z,323385
20150724T07Z,309924
20150724T08Z,301111
20150724T09Z,298002
20150724T10Z,304327
20150724T11Z,316949
20150724T12Z,333119
20150724T13Z,354289
20150724T14Z,376338
20150724T15Z,400046
20150724T16Z,420541
20150724T17Z,438209
20150724T18Z,453281
20150724T19Z,465320
20150724T20Z,472214
20150724T21Z,476362
20150724T22Z,475529
20150724T23Z,466914
20150725T00Z,451516
20150725T01Z,435200
20150725T02Z,422396
20150725T03Z,399929
20150725T04Z,370780
20150725T05Z,343391
20150725T06Z,321648
20150725T07Z,306644
20150725T08Z,295822
20150725T09Z,289318
20150725T10Z,288431
20150725T11Z,290354
20150725T12Z,297535
20150725T13Z,317735
20150725T14Z,344571
20150725T15Z,372384
20150725T16Z,396849
20150725T17Z,416702
20150725T18Z,432213
20150725T19Z,443662
20150725T20Z,452157
20150725T21Z,457506
20150725T22Z,457445
20150725T23Z,451187
20150726T00Z,437271
20150726T01Z,422746
20150726T02Z,411590
20150726T03Z,391681
20150726T04Z,364184
20150726T05Z,338314
20150726T06Z,317988
20150726T07Z,303260
20150726T08Z,292358
20150726T09Z,285909
20150726T10Z,283316
20150726T11Z,282787
20150726T12Z,286497
20150726T13Z,306475
20150726T14Z,335789
20150726T15Z,365344
20150726T16Z,390863
20150726T17Z,413084
20150726T18Z,431387
20150726T19Z,444086
20150726T20Z,452510
20150726T21Z,457625
20150726T22Z,459720
20150726T23Z,454749
20150727T00Z,443882
20150727T01Z,433031
20150727T02Z,423644
20150727T03Z,402685
20150727T04Z,374392
20150727T05Z,347760
20150727T06Z,328785
20150727T07Z,315465
20150727T08Z,307228
20150727T09Z,305369
20150727T10Z,312986
20150727T11Z,326536
20150727T12Z,343243
20150727T13Z,366973
20150727T14Z,393221
20150727T15Z,421444
20150727T16Z,447716
20150727T17Z,469569
20150727T18Z,486254
20150727T19Z,497685
20150727T20Z,504431
20150727T21Z,508437
20150727T22Z,508025
20150727T23Z,500209
20150728T00Z,486327
20150728T01Z,471820
20150728T02Z,459214
20150728T03Z,433076
20150728T04Z,400428
20150728T05Z,370313
20150728T06Z,347681
20150728T07Z,331681
20150728T08Z,321304
20150728T09Z,317402
20150728T10Z,323387
20150728T11Z,338205
20150728T12Z,356452
20150728T13Z,380574
20150728T14Z,408774
20150728T15Z,438791
20150728T16Z,466508
20150728T17Z,488752
20150728T18Z,506009
20150728T19Z,517110
20150728T20Z,523085
20150728T21Z,525207
20150728T22Z,521892
20150728T23Z,512685
20150729T00Z,497388
20150729T01Z,483819
20150729T02Z,469652
20150729T03Z,442383
20150729T04Z,408812
20150729T05Z,378617
20150729T06Z,356127
20150729T07Z,339472
20150729T08Z,328626
20150729T09Z,324150
20150729T10Z,329849
20150729T11Z,345196
20150729T12Z,363269
20150729T13Z,384258
20150729T14Z,409559
20150729T15Z,438230
20150729T16Z,464646
20150729T17Z,486546
20150729T18Z,503118
20150729T19Z,514824
20150729T20Z,519733
20150729T21Z,519749
20150729T22Z,516978
20150729T23Z,509003
20150730T00Z,494181
20150730T01Z,479619
20150730T02Z,465162
20150730T03Z,438483
20150730T04Z,404269
20150730T05Z,373728
20150730T06Z,352022
20150730T07Z,335936
20150730T08Z,325186
20150730T09Z,321305
20150730T10Z,327750
20150730T11Z,343133
20150730T12Z,358531
20150730T13Z,380136
20150730T14Z,405236
20150730T15Z,431163
20150730T16Z,456162
20150730T17Z,475535
20150730T18Z,492091
20150730T19Z,501180
20150730T20Z,504798
20150730T21Z,505104
20150730T22Z,501301
20150730T23Z,491365
20150731T00Z,475978
20150731T01Z,460460
20150731T02Z,447307
20150731T03Z,421389
20150731T04Z,388876
20150731T05Z,359415
20150731T06Z,336267
20150731T07Z,319141
20150731T08Z,308761
20150731T09Z,304380
20150731T10Z,308808
20150731T11Z,321490
20150731T12Z,338881
20150731T13Z,360817
20150731T14Z,384694
20150731T15Z,409488
20150731T16Z,431945
20150731T17Z,449528
20150731T18Z,463479
20150731T19Z,475483
20150731T20Z,482659
20150731T21Z,487126
20150731T22Z,484871
20150731T23Z,473415
20150801T00Z,454572
20150801T01Z,435034
20150801T02Z,419217
20150801T03Z,395325
20150801T04Z,365079
20150801T05Z,337890
20150801T06Z,316043
20150801T07Z,300076
20150801T08Z,289152
20150801T09Z,283022
20150801T10Z,281819
20150801T11Z,283968
20150801T12Z,291153
20150801T13Z,311879
20150801T14Z,340224
